"Value of Exports by Major Country/Region/Certain Entity of Destination (FOB value:million US$), 2000-2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region/Certain Entity of Destination,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,
ASEAN2)," 10,883.7 "," 9,507.1 "," 9,933.5 "," 10,725.4 "," 12,997.5 "," 15,824.9 "," 18,483.1 "," 22,292.1 "," 27,170.8 "," 24,624.0 "," 33,347.5 "," 42,098.9 "," 41,829.1 "," 40,630.0 "," 39,668.1 "," 33,577.0 "," 33,778.2 "," 39,266.4 "," 41,913.2 "," 41,464.5 "," 36,420.2 "," 48,115.2 "," 61,354.3 "," 53,086.4 "," 54,413.7 "," 58,030.7 "
Thailand," 1,026.5 "," 1,063.6 "," 1,227.4 "," 1,392.6 "," 1,976.2 "," 2,246.5 "," 2,701.5 "," 3,054.3 "," 3,661.3 "," 3,233.8 "," 4,566.6 "," 5,896.7 "," 6,635.1 "," 6,061.9 "," 5,783.1 "," 5,507.3 "," 5,394.0 "," 6,473.7 "," 6,820.9 "," 6,218.4 "," 5,110.3 "," 7,088.0 "," 8,196.8 "," 7,222.9 "," 7,707.2 "," 8,756.8 "
Singapore," 6,562.4 "," 5,363.9 "," 5,349.1 "," 5,399.7 "," 6,001.2 "," 7,836.6 "," 8,929.8 "," 10,501.6 "," 12,862.0 "," 10,262.7 "," 13,723.3 "," 18,443.9 "," 17,135.0 "," 16,686.3 "," 16,728.3 "," 12,632.6 "," 11,861.0 "," 12,724.9 "," 12,915.0 "," 12,916.7 "," 10,661.9 "," 11,635.8 "," 14,349.5 "," 12,607.6 "," 12,205.1 "," 13,438.2 "
Philippines, 819.5 , 814.8 , 778.2 , 944.7 ," 1,237.6 "," 1,419.1 "," 1,405.7 "," 1,853.7 "," 2,053.6 "," 2,405.9 "," 3,180.7 "," 3,699.0 "," 3,707.6 "," 3,817.0 "," 3,887.8 "," 3,921.7 "," 5,270.9 "," 6,629.6 "," 6,832.2 "," 6,770.1 "," 5,900.7 "," 8,604.3 "," 12,905.1 "," 11,040.1 "," 10,748.4 "," 10,220.7 "
Malaysia," 1,971.8 "," 1,778.6 "," 2,029.9 "," 2,363.9 "," 3,016.0 "," 3,431.3 "," 4,110.8 "," 5,096.1 "," 6,432.5 "," 6,811.8 "," 9,362.3 "," 10,995.8 "," 11,278.3 "," 10,666.6 "," 9,730.0 "," 7,630.9 "," 7,069.5 "," 8,441.1 "," 9,271.6 "," 8,801.8 "," 8,098.8 "," 12,064.7 "," 15,672.6 "," 12,804.4 "," 12,548.8 "," 13,061.0 "
Myanmar, 64.8 , 69.0 , 54.4 , 45.7 , 60.3 , 78.0 , 137.7 , 262.4 , 250.8 , 174.8 , 284.2 , 359.5 , 401.6 , 556.4 , 566.9 , 615.7 , 615.7 , 827.5 , 897.6 , 875.6 ," 1,031.9 "," 1,122.1 ", 964.6 , 796.6 , 620.1 , 787.8 
Cambodia, 51.7 , 72.1 , 68.8 , 79.9 , 71.8 , 93.9 , 103.6 , 121.8 , 174.0 , 201.2 , 217.7 , 259.5 , 292.2 , 312.4 , 415.8 , 429.7 , 426.9 , 513.9 , 525.6 , 618.5 , 541.3 , 531.2 , 725.6 , 856.1 , 833.3 , 869.3 
Brunei Darussalam, 25.5 , 21.6 , 32.1 , 30.4 , 31.8 , 39.3 , 37.6 , 43.4 , 59.7 , 74.9 , 61.0 , 81.7 , 81.8 , 122.7 , 100.3 , 91.2 , 88.7 , 64.5 , 61.2 , 103.2 , 129.0 , 211.4 , 240.1 , 197.2 , 227.8 , 187.5 
"Lao People""s Dem. Rep,", 0.9 , 1.4 , 0.7 , 0.5 , 1.6 , 1.8 , 4.3 , 3.7 , 4.0 , 4.7 , 5.5 , 8.6 , 23.8 , 5.8 , 4.6 , 7.7 , 5.9 , 4.2 , 7.3 , 6.8 , 5.1 , 7.6 , 26.6 , 16.7 , 15.0 , 13.3 
Vietnam, 360.6 , 322.1 , 392.9 , 468.1 , 601.0 , 678.4 ," 1,052.0 "," 1,355.1 "," 1,672.9 "," 1,454.2 "," 1,946.2 "," 2,354.2 "," 2,273.7 "," 2,400.9 "," 2,451.3 "," 2,740.2 "," 3,045.6 "," 3,586.9 "," 4,581.9 "," 5,153.4 "," 4,941.4 "," 6,850.1 "," 8,273.3 "," 7,544.9 "," 9,508.0 "," 10,629.1 "
