kategori_sitc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0. Bahan makanan dan binatang hidup,8276.4,10114.6,10742.6,10961.2,12070.1,11600.8,11638,12827.3,13104.3,13225.1,14565.1,16944.3,18930.4,17860.2,21020.4,23528.6
1. Minuman dan tembakau,714.5,807.6,879.9,1017.3,1101.6,1075.4,1140.3,1274.7,1337.9,1332.1,1243.6,1253.1,1446.8,1622.4,1992.8,2187.6
"2. Bahan-bahan mentah, tidak untuk dimakan",20270.7,24275.1,18831.6,19274,13072.8,12766,12381.9,16327.8,17628.6,14895.6,14034.4,20603.7,30235.5,27965.4,30211.3,26848.2
"3. Bahan bakar pelikan, bahan penyemir dan bahan-bahan yang berkenaan dengan itu",46764.8,68912.3,63371.4,57395.8,51069.7,34648.6,27887.2,36880.7,41778.3,34103.4,25501.8,45077,70992,59488.1,55523.6,44819.4
4. Lemak serta minyak hewan dan nabati,15959.7,20704.4,22020.9,18549.2,20204.7,18006.2,17489.7,21978,19329,16780.4,19709.5,30883.9,32638.2,26441.4,24620,31107.4
5. Bahan-bahan kimia,8811.9,12756.8,10597.2,12354,13163.9,10047.4,11034.5,12700,14238.2,13078.6,12659.4,18705.6,22186.4,17440.7,18552.7,24040.3
6. Barang-barang buatan pabrik dirinci menurut bahan,21946.9,25485.6,22289.1,22002.2,22683.9,20585.9,20116,22356.1,26337.4,26409.4,28591.2,43799.4,50961.8,47366,49995.2,52824
7. Mesin dan alat pengangkutan,19626.4,21768.7,22767.5,22137.7,21779.1,19801,20866.3,21588.3,22614.8,23243.7,21415.7,26977.2,33836.8,32947.4,34374.2,40837
8. Berbagai jenis barang buatan pabrik,14231.2,16447.3,16513.8,17041.5,19301.7,20429.3,21129.6,20957.9,21562.7,20984.1,19804.9,25845.5,29801.3,27530.6,28943.9,32869.9
9. Barang-barang transaksi tidak dirinci,1176.6,2224.2,2006.3,1818.9,1532.5,1405.7,1450.4,1936.8,2081.5,3630.6,5666.3,1620.4,1157.3,865.6,1096.3,2255.5
Jumlah,157779.1,203496.6,190020.3,182551.8,175980,150366.3,145134,168828.2,180012.7,167683,163191.8,231710.1,292186.7,259527.8,266529.2,282505.3
